Country Name,"Country Code","Series Name","Series Code","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]","2024 [YR2024]","2025 [YR2025]","2026 [YR2026]","2027 [YR2027]","2028 [YR2028]","2029 [YR2029]","2030 [YR2030]","2031 [YR2031]","2032 [YR2032]","2033 [YR2033]","2034 [YR2034]","2035 [YR2035]","2036 [YR2036]","2037 [YR2037]","2038 [YR2038]","2039 [YR2039]","2040 [YR2040]","2041 [YR2041]","2042 [YR2042]","2043 [YR2043]","2044 [YR2044]","2045 [YR2045]","2046 [YR2046]","2047 [YR2047]","2048 [YR2048]","2049 [YR2049]","2050 [YR2050]"
Afghanistan,"AFG","Age dependency ratio (% of working-age population)","SP.POP.DPND","81.71773929006","82.7559072229219","83.3045734999743","83.5507401650963","83.7344496582319","83.9621592015287","85.0992825084146","86.1036946663497","86.9706974780937","87.6501539659456","88.1268365876411","89.3273800472944","90.2056412276813","90.8132559746628","91.1821289408733","91.2843472186308","92.2683710471539","93.0915466266521","93.7018278105693","93.9541387864259","93.6668692257327","94.7554008858761","95.64086212045","96.3423023802562","97.0408821171282","98.0232712908985","98.8030218775089","99.1540581920011","99.374850782702","99.8754343463485","101.094922026986","101.007990255326","100.880592749596","100.881557451878","100.847802831167","100.476267017639","101.231922683444","101.976748990095","102.539887391934","102.925559144891","103.25420072907","102.933036770759","102.217025813213","101.290159129779","100.247555311389","99.0784398877287","99.5742674600171","100.000375703382","100.215891669051","100.060480358064","99.4598349028104","97.6679077106162","95.3127113578785","92.6027834447139","89.7737732087193","86.9544645974298","84.6176847123321","82.4559105258385","80.352255659155","78.1592948438338","75.8420632241338","73.8811083773085","71.7414364784002","69.5681633773066","67.5512517539519","65.7656817751293","64.1728720163936","62.7751055444342","61.5147515192305","60.2948407811039","59.0705427846363","57.9779308141642","56.8847598512587","55.8055116414865","54.7683721433912","53.7846374954596","52.9256828996924","52.0854597483868","51.2707855430805","50.4868143923962","49.7336721224874","49.0570977971858","48.4051239837368","47.7724820595934","47.1536191337132","46.5473684057883","46.0149737024922","45.4887334386071","44.9721126679765","44.4714965984262","43.9924849124167"
Afghanistan,"AFG","Age dependency ratio, old","SP.POP.DPND.OL","5.08626206085246","5.13260860420296","5.13952409177048","5.11189545065736","5.05618221491583","4.97630415093376","5.02442840700022","5.04618669345976","5.03959862206175","5.00207800434134","4.93370065508869","4.97140396412972","4.97837661364074","4.95795002484353","4.91459711776231","4.85167519652919","4.889702067331","4.89194366929761","4.85739261389759","4.78569157888584","4.67680475523122","4.73882110652311","4.74754567459001","4.69460153549069","4.57111837093054","4.36504762084023","4.45038895919677","4.50785179778216","4.53107503138098","4.51046461800856","4.43831356988185","4.46495795567281","4.49694402462309","4.53775057795484","4.58931480562021","4.65424594924485","4.66298147419065","4.65120188747163","4.62424251534296","4.58816684893391","4.54656079057886","4.49821738210936","4.45023456521163","4.40584372713762","4.36615437265937","4.3320376574224","4.3846613273597","4.42658233678637","4.46218173015559","4.49823556092174","4.53820949774542","4.56549899594472","4.59143595532584","4.61170813314099","4.6203901187467","4.616071774922","4.64881760838501","4.66667543082965","4.67490538903201","4.67915963259422","4.68328371734626","4.70761377012551","4.72754315220489","4.74612020236281","4.76690332212841","4.79268222672971","4.84022971971265","4.8889664324998","4.93976291229203","4.99300306748906","5.04968397109888","5.12725123329718","5.20461328817849","5.28387894619523","5.36757328682588","5.45821569093256","5.57246326361287","5.68797169435154","5.80876329093775","5.93963012830964","6.08312891581354","6.25463815100687","6.43185422652084","6.61593528595909","6.80832946601119","7.01065651713127","7.23597158922799","7.46570579927964","7.69948274460874","7.93589854877388","8.17573392709736"
Afghanistan,"AFG","Age dependency ratio, young","SP.POP.DPND.YG","76.6314772292075","77.6232986187189","78.1650494082038","78.438844714439","78.678267443316","78.9858550505949","80.0748541014144","81.0575079728899","81.931098856032","82.6480759616043","83.1931359325524","84.3559760831647","85.2272646140406","85.8553059498192","86.267531823111","86.4326720221016","87.3786689798229","88.1996029573545","88.8444351966717","89.1684472075401","88.9900644705015","90.016579779353","90.89331644586","91.6477008447655","92.4697637461977","93.6582236700583","94.3526329183121","94.6462063942189","94.843775751321","95.36496972834","96.6566084571046","96.5430322996531","96.3836487249731","96.3438068739231","96.2584880255472","95.8220210683937","96.5689412092533","97.3255471026229","97.9156448765907","98.3373922959575","98.7076399384909","98.4348193886494","97.7667912480017","96.884315402641","95.8814009387292","94.7464022303063","95.1896061326574","95.5737933665961","95.7537099388951","95.5622447971426","94.921625405065","93.1024087146715","90.7212754025526","87.9910753115729","85.1533830899726","82.3383928225078","79.9688671039471","77.7892350950088","75.677350270123","73.4801352112396","71.1587795067876","69.173494607183","67.0138933261953","64.8220431749438","62.7843484318235","60.9729995483995","59.3326422966809","57.8861391119344","56.5749886069384","55.3018377136148","54.0208588135375","52.850679580867","51.6801465630802","50.5216326952913","49.4007988565653","48.3264218045271","47.3532196360795","46.3974880540353","45.4620222521428","44.5471842640866","43.6505432066739","42.8024596461789","41.973269757216","41.1565467736343","40.345289667702","39.536711888657","38.7790021132642","38.0230276393274","37.2726299233678","36.5355980496523","35.8167509853194"
Afghanistan,"AFG","Age population, age 0, female, interpolated","SP.POP.AG00.FE.IN","178556","182674","185434","187513","189945","193553","197672","202860","208967","215766","222986","229482","236195","242768","248801","253939","261214","267817","272368","273167","269378","266021","259054","250773","244122","241327","231714","226438","226826","234547","250659","263139","283862","308674","332196","350767","372421","388586","401311","413682","427656","438366","450208","461942","472047","479646","489259","496865","502239","505123","505381","498585","489410","479871","472871","470554","476336","","","","515000","","","","","489000","","","","","497000","","","","","489000","","","","","470000","","","","","452000","","","","","430000"
Afghanistan,"AFG","Age population, age 0, male, interpolated","SP.POP.AG00.MA.IN","177635","181588","185852","190462","195498","201014","205918","211276","217164","223692","230854","237485","244495","251489","258006","263642","271213","278152","283036","284115","280510","277250","270353","262084","255345","252365","242328","236519","236619","244741","262202","275562","298133","325000","349846","368489","391167","407018","418995","431372","446807","459252","474240","489372","501632","509251","518474","523673","525861","526413","526253","519360","511878","504910","500134","498844","505180","","","","540000","","","","","515000","","","","","523000","","","","","515000","","","","","495000","","","","","476000","","","","","452000"
Afghanistan,"AFG","Age population, age 01, female, interpolated","SP.POP.AG01.FE.IN","162320","171491","169962","173800","177926","182562","188166","191733","197054","203000","209554","217393","222189","228662","234622","239656","246523","252871","257170","257970","254515","253528","245267","237763","231784","229409","226939","215613","216049","223372","238562","252713","269614","292842","314782","331988","349354","366800","378548","390496","404707","421996","430570","444743","457249","466848","477165","485937","491858","495861","498238","500473","490390","485357","481202","479012","471771","","","","499000","","","","","490000","","","","","492000","","","","","488000","","","","","473000","","","","","454000","","","","","432000"
Afghanistan,"AFG","Age population, age 01, male, interpolated","SP.POP.AG01.MA.IN","165324","171802","173605","178256","183270","188658","195204","198435","203950","210087","216882","225108","230062","236881","243245","248735","256088","262624","267309","268456","265275","264684","256443","249082","243120","240616","237742","225741","225792","233460","250027","265910","284290","309880","333346","350637","367366","385420","395874","407304","422546","441823","452863","470408","485250","495263","506258","512978","516545","518778","520851","521244","513297","509771","506956","505348","499961","","","","525000","","","","","516000","","","","","518000","","","","","514000","","","","","498000","","","","","478000","","","","","455000"
Afghanistan,"AFG","Age population, age 02, female, interpolated","SP.POP.AG02.FE.IN","149031","157159","165005","161922","167142","172416","177879","182927","186150","191468","197512","204956","212063","215983","221833","226748","233210","238647","243437","244228","241050","239959","236413","225771","220337","218301","216057","215457","206026","213018","227403","240761","258209","278337","298850","314825","331124","344562","357813","369294","383523","400506","418540","427527","441823","453021","464676","473129","480640","485874","490248","494169","497129","488179","486567","484823","478435","","","","487000","","","","","491000","","","","","489000","","","","","487000","","","","","475000","","","","","456000","","","","","435000"
Afghanistan,"AFG","Age population, age 02, male, interpolated","SP.POP.AG02.MA.IN","154536","160585","166293","167360","172304","177550","183782","189622","192095","197899","204371","212181","219635","223748","229947","235285","242214","248138","253093","254285","251446","250788","247626","237039","231710","229601","226996","225936","215736","223038","238825","253907","273630","295912","318104","334191","349913","362016","374977","385553","400460","419067","439666","451672","468350","480217","492768","501016","505934","509897","514116","516331","518413","512160","511223","509720","504985","","","","513000","","","","","517000","","","","","515000","","","","","513000","","","","","500000","","","","","481000","","","","","458000"
Afghanistan,"AFG","Age population, age 03, female, interpolated","SP.POP.AG03.FE.IN","138378","145319","152524","158876","157516","163093","168433","173332","177876","181081","186747","193798","200606","206738","210330","215109","221179","226336","229827","231831","228873","227625","224206","219275","209727","207953","205916","205458","206994","203424","217107","229755","246239","264625","284288","299160","314435","327059","338395","349929","363987","380406","398391","415830","425928","438352","451219","460990","468469","475202","481442","486833","491641","494554","489175","488163","483261","","","","479000","","","","","490000","","","","","486000","","","","","486000","","","","","477000","","","","","459000","","","","","438000"
