Date,Time,Road Condition,Weather Condition,Severity,Latitude,Longitude
01/15/2023,08:00:00,Wet,Rainy,2,34.0522,-118.2437
02/25/2023,14:30:00,Dry,Clear,1,40.7128,-74.0060
03/10/2023,18:45:00,Dry,Clear,3,37.7749,-122.4194
01/21/2023,23:10:00,Icy,Snowy,4,41.8781,-87.6298
04/11/2023,06:30:00,Wet,Foggy,2,29.7604,-95.3698
05/05/2023,15:00:00,Dry,Clear,1,36.1699,-115.1398
06/20/2023,12:15:00,Dry,Clear,1,34.0522,-118.2437
07/18/2023,19:30:00,Wet,Rainy,3,40.7128,-74.0060
08/30/2023,10:45:00,Dry,Clear,2,37.7749,-122.4194
09/11/2023,22:10:00,Icy,Foggy,4,41.8781,-87.6298
10/21/2023,17:20:00,Wet,Rainy,2,29.7604,-95.3698
11/15/2023,14:00:00,Dry,Cloudy,1,36.1699,-115.1398
12/30/2023,08:00:00,Dry,Clear,1,34.0522,-118.2437
01/01/2023,23:30:00,Wet,Snowy,3,40.7128,-74.0060
02/14/2023,09:00:00,Dry,Foggy,2,37.7749,-122.4194
03/25/2023,13:50:00,Icy,Rainy,4,41.8781,-87.6298
04/17/2023,20:00:00,Wet,Cloudy,2,29.7604,-95.3698
05/22/2023,11:25:00,Dry,Clear,1,36.1699,-115.1398
06/08/2023,16:45:00,Dry,Rainy,3,34.0522,-118.2437
07/04/2023,18:10:00,Wet,Cloudy,2,40.7128,-74.0060
08/19/2023,21:00:00,Icy,Foggy,4,37.7749,-122.4194
09/30/2023,05:30:00,Wet,Rainy,3,41.8781,-87.6298
10/15/2023,12:00:00,Dry,Clear,1,29.7604,-95.3698
11/28/2023,09:15:00,Dry,Foggy,2,36.1699,-115.1398
12/24/2023,14:45:00,Wet,Snowy,3,34.0522,-118.2437
01/10/2023,08:30:00,Dry,Clear,1,40.7128,-74.0060
02/18/2023,19:00:00,Icy,Rainy,4,37.7749,-122.4194
03/12/2023,16:30:00,Wet,Foggy,2,41.8781,-87.6298
04/22/2023,10:00:00,Dry,Clear,1,29.7604,-95.3698
05/16/2023,14:15:00,Dry,Rainy,3,36.1699,-115.1398
06/30/2023,21:45:00,Wet,Cloudy,2,34.0522,-118.2437
07/25/2023,13:20:00,Dry,Clear,1,40.7128,-74.0060
08/04/2023,22:05:00,Icy,Snowy,4,37.7749,-122.4194
09/15/2023,11:55:00,Wet,Rainy,3,41.8781,-87.6298
10/03/2023,15:40:00,Dry,Foggy,2,29.7604,-95.3698
11/11/2023,12:30:00,Dry,Clear,1,36.1699,-115.1398
12/22/2023,09:00:00,Wet,Cloudy,2,34.0522,-118.2437
